漢字,羅馬字,詞性/解說
大爿,tōa-pêng,"[名詞] 東西切割或對分之後，占多數或較大的一方。
[名詞] 風水觀念中的方位，左青龍，右白虎，以左為大。大爿即左邊之義。"
丸仔,oân-á,[名詞] 丸子。團狀、丸狀的東西或食品。
大兄,tōa-hiaⁿ,[名詞] 大哥、長兄。
工仔,kang-á,[名詞] 工人。靠勞力工作，以換取工資的人。
巾仔,kin-á/kun-á,[名詞] 布巾類的總稱。
弓仔,keng-á,[名詞] 彈簧。利用有彈性的材料所製成的零件。
大主大意,tōa-chú-tōa-ì,[動詞] 擅作主張。指不聽從、不遵守上級或長輩的指示，擅自做決定。
大代誌,tōa tāi-chì,[名詞] 大事情。
上加,siōng-ke,[副詞] 最多、頂多。
上北,chiūⁿ-pak,[動詞] 北上。臺灣地理的觀念上，以北為上，南為下，所以向北出發即是「上北」。
下司,ē-si,[名詞] 下屬、手下。
土包仔,thó͘-pau-á,[名詞] 土包子、鄉巴佬。形容缺乏見識、知識的人。
小可仔,sió-khóa-á,[形容詞] 稍微、些微、少許。
大四界,tōa-sì-kè/tōa-sì-kòe,[副詞] 到處、每個地方。
上卌袂攝,chiūⁿ-siap-bē-liap/chiūⁿ-siap-bōe-liap,[熟語] 卌為四十的意思，上卌表示人到中年的意思。這句話表示人到中年萬事休，生理機能走下坡，心理也逐漸失去青年時期意氣風發的理想。
下半暝,ē-pòaⁿ-mê/ē-pòaⁿ-mî,[時間詞] 下半夜、後半夜。夜晚十二點以後到天亮的時間。
上市,chiūⁿ-chhī,[動詞] 物品、股票等開始在市場上發售或買賣。
下本,hē-pún,"[動詞] 投入本錢。
[名詞] 資本。"
大本,tōa-pún,"[名詞] 大號、大型的植物。
[名詞] 大本錢、很多本錢。"
小旦,sió-tòaⁿ,[名詞] 戲劇裡，飾演年輕貌美的女子的角色。
上目,chiūⁿ-ba̍k,[形容詞] 瞧得起；看得上眼。 
口白,kháu-pe̍h,[名詞] 旁白。戲曲中人物的內心獨白以及對話。
大目,tōa-ba̍k,[名詞] 大眼睛。用來嘲諷人沒有看到近在眼前或目標明顯的東西。
小生,sió-seng,[名詞] 戲劇裡，飾演年輕男子的角色，包括文生和武生。
小玉仔,sió-gio̍k-á,[名詞] 小玉西瓜。瓜果類。果肉為黃色的西瓜。
小白菜,sió-pe̍h-chhài,[名詞] 葉菜類。形似油菜，葉柄呈白色，可食用，也可以入藥。
大甲蓆,Tāi-kah-chhio̍h,[名詞] 大甲地區所產的優質草蓆，為大甲藺草所編，質地柔軟不易脆裂。
上任,chiūⁿ-jīm/chiūⁿ-līm,[動詞] 就職。擔任職務。
久仰,kiú-gióng,[動詞] 非常仰慕、仰慕很久了。是人際交往時初次見面的客套話。
干休,kan-hiu,[副詞] 停止、罷休。
大名,tōa-miâ,"[名詞] 用來尊稱別人的名字。
[名詞] 指一個人享有極高的聲望和名譽。"
大囝,tōa-kiáⁿ,[名詞] 長子、大兒子。稱謂。對長子的稱呼。
小名,sió-miâ,"[名詞] 乳名、外號。非正式的名字。
[名詞] 對自己名字的謙稱。"
小囝,sió-kiáⁿ,[名詞] 小子。是輕視別人的稱呼。
大同仔,tāi-tông-á,[名詞] 青椒。瓜果類。主莖呈木質化，為低木狀，形狀像辣椒，可以食用。
上好,siōng hó,"[形容詞] 最好、最佳的表現。
[副詞] 最好。表示一種期待與希望，有時帶有警示的意味。"
也好,iā hó,[副詞] 也好、也行。
土地,thó͘-tē/thó͘-tōe,"[名詞] 指土壤或者是地表上面的部分。
[名詞] 指一個國家的領土、封疆。
[名詞] 專門指耕地。"
土地公,Thó͘-tī-kong,[名詞] 民間信仰中守護地方的神，又叫做「福德正神」。
下早仔,e-chái-á,"[時間詞] 早上。
[時間詞] 今早。今天早上。"
大耳,tōa-hīⁿ/tōa-hī,"[形容詞] 形容人不辨真假、輕信片面之詞。
[名詞] 大耳朵。大耳朵的人又稱「大耳仙」(tōa-hīⁿ sian)。
[名詞] 傻瓜。"
大舌,tōa-chi̍h,[動詞] 口吃。講話結結巴巴、不清不楚。
大伯,tōa-peh,"[名詞] 稱謂。對人尊稱父親的長兄。
[名詞] 大伯子。稱謂。妻子尊稱丈夫的大哥。"
大位,tōa-ūi,"[名詞] 主位。宴會用餐時，最重要的席位，通常由德高望重者，或年長長輩入座。
[名詞] 車上的主位。"
工作,kang-chok,[名詞] 作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。
山伯英台,San-phek-Eng-tâi,[熟語] 著名的民間故事及戲曲劇目人物。梁山伯與祝英台同窗三年，才知英台是女扮男裝，二人相愛欲成夫妻，祝家卻將英台許配權貴，山伯相思而死，英台跳入山伯墳塚而亡，二人化為彩蝶，比翼雙飛。後也用來比喻苦戀的悲劇人物。
大妗,tōa-kīm,[名詞] 大舅媽。稱謂。大舅的妻子。
山尾溜,soaⁿ-bóe-liu/soaⁿ-bé-liu,[名詞] 山頂。
子弟,chú-tē,"[名詞] 後生小輩。
[名詞] 子嗣。"
小弟,sió-tī,"[名詞] 稱謂。稱最年幼的弟弟或泛稱弟弟。
[代詞] 男人對平輩的自謙稱詞。
[名詞] 稱呼年齡比自己小的男子。"
子弟戲,chú-tē-hì,[名詞] 由農村子弟組成演出的臺灣傳統戲曲，主要為北管，為業餘性質，在廟宇慶典中伴奏或演出。
三更,saⁿ-keⁿ/saⁿ-kiⁿ,[時間詞] 子時、中夜。指夜間十一時至隔天凌晨一時。
三更半暝,saⁿ-keⁿ-pòaⁿ-mê/saⁿ-kiⁿ-pòaⁿ-mî,[時間詞] 三更半夜；深夜。
口灶,kháu-chàu,[量詞] 戶、住戶。計算家庭的單位。
小肚,sió-tō͘,[名詞] 膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。
大肚胿,tōa-tō͘-kui,"[名詞] 指很大的肚子。
[形容詞] 指一個人的食量很大。
[名詞] 指懷孕。"
三角,saⁿ-kak,"[名詞] 三角形。
[名詞] 三毛錢。"
久見,kiú-kiàn,[動詞] 久違。好久不見，為久別重逢的寒暄語。
山谷,soaⁿ-kok,[名詞] 山溝。兩山之間低窪且狹窄的地方。
川芎,chhoan-kiong,[名詞] 芎藭。草本植物。可入藥，有調經、活血、潤燥、止痛等療效。大多產於四川，所以稱為「川芎」。
川貝,chhoan-pòe,[名詞] 貝母、藥實。草本植物。地下鱗莖為白色，形狀像集貝子，可以入藥。主要產地在中國四川。
干貝,kan-pòe,[名詞] 蚌類扇貝上的肉經乾燥製成的食品。
千里眼,Chhian-lí-gán,[名詞] 神話傳說中的天神，是媽祖座前的神將，雙眼大而暴突，能看到極遠、極細、極隱蔽的東西。
三角窗,saⁿ-kak-thang,[名詞] 位於路口轉角處的房子。
三角褲,saⁿ-kak-khò͘,[名詞] 一種三角樣式的貼身內褲。
千里鏡,chhian-lí-kiàⁿ,[名詞] 望遠鏡。用來觀察天體或者是遠處物體的儀器。
久來,kú--lâi,[副詞] 久而久之。
口供,kháu-keng,[名詞] 訴訟關係人在被審問的時候，對案情的相關陳述。
大使,tāi-sài,[名詞] 地位最高的外交官員。派駐在邦交國，代表著國家和國家元首。
小事,sió-sū,[名詞] 小事情。
小使,siáu-sú,[名詞] 小弟、跑腿的。供人差遣的人。
工事,kang-sū,[名詞] 工程。源自日語「工事（こうじ）」。
女兒,lú-jî/lú-lî,[名詞] 稱謂。父母親稱自己的女兒，此音讀通常出現在戲劇中。
小叔,sió-chek,[名詞] 稱謂。稱呼丈夫的弟弟。
小管仔,sió-kńg-á,[名詞] 軟體動物名。胴部呈圓錐形或長筒形，鰭較大，多位於後端。腕有十隻，有兩隻較長的觸腕，內有吸盤二行，觸腕穗吸盤四行。
小兒科,sió-jî-kho/sió-lî-kho,[名詞] 專門診治兒童的醫學分科。
小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì,[名詞] 急性脊髓灰白質炎。病名。由濾過性病毒所引發的急性傳染病，病毒侵入中樞神經系統，破壞脊椎前角的神經，致使肌肉麻痺萎縮。
山坪,soaⁿ-phiâⁿ,[名詞] 山坡地。山凹間或山麓上較平坦的地或可耕地。
丈姆,tiūⁿ-ḿ,[名詞] 丈母娘、岳母。稱謂。男子稱妻子的母親。
大姆,tōa-ḿ,"[名詞] 大伯母。稱謂。用來稱呼父親大哥的妻子。
[名詞] 稱謂。妻子尊稱丈夫的大嫂。"
大姊,tōa-chí,[名詞] 稱謂。用來稱呼姊妹之中年紀最大的。
大姑,tōa-ko͘,"[名詞] 稱謂。指父親的姊妹中年紀最長的。
[名詞] 稱謂。稱呼丈夫的姊姊。"
小妹,sió-mōe/sió-bē,"[名詞] 稱謂。稱呼排行最小的妹妹或泛稱妹妹。
[名詞] 女子自稱。"
小姐,sió-chiá,"[名詞] 姑娘。稱呼未婚的年輕女子。
[名詞] 稱呼富貴人家的女兒。"
小姑,sió-ko͘,[名詞] 稱謂。女子稱呼丈夫的妹妹。
丈姆婆,tiūⁿ-ḿ-pô,[名詞] 丈母娘、岳母。稱謂。男子稱妻子的母親。
下底,ē-té/ē-tóe,[方位詞] 下面、底下。與「頂面」(téng-bīn)相對。
大官,ta-koaⁿ,[名詞] 公公。指丈夫的父親，用於背稱及描述，面稱時則與丈夫一致。
大官虎,tōa-koaⁿ-hó͘,[名詞] 權臣、官僚。仗著官位權勢擺威風、魚肉百姓的人。
土性,thó͘-sèng,[形容詞] 形容人的個性較粗魯、率直。
下性命,hē-sèⁿ-miā/hē-sìⁿ-miā,[副詞] 拚命。豁出性命，全力以赴。
大房,tōa-pâng,[名詞] 長房。指家族中嫡長子所屬的家系。
大拖,tōa-thoa,[名詞] 用來當作曬穀時集中穀子的農具。約二尺半長、一尺多寬的長型木板，上有一柄，兩邊有繩索，由兩人共同拖曳，將大量稻穀集中一處放置處理。
下昏,e-hng,"[時間詞] 晚上。
[時間詞] 今晚。"
山東白仔,soaⁿ-tang-pe̍h-á,[名詞] 包心白菜、山東白菜。葉菜類。營養豐富，具有清熱利尿、降血壓、預防感冒、健胃整腸等功效。
下昏暗,e-hng-àm,[時間詞] 今晚、今天晚上。
乞的,khit--ê,[名詞] 養子女。
土直,thó͘-ti̍t,[形容詞] 形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。
三肢手,saⁿ-ki-chhiú,[名詞] 扒手、三隻手。專門在公共場所偷取人家財物的小偷。
久長,kú-tn̂g,[形容詞] 長久。時間長遠悠久。
千金,chhian-kim,"[名詞] 禮貌性的稱呼別人的女兒。
[名詞] 表示很多錢，很有價值。"
三長兩短,saⁿ-tn̂g-nn̄g-té,[形容詞] 指意外不測、變故，多指死亡。
上青苔,chhiūⁿ-chheⁿ-thî/chhiūⁿ-chhiⁿ-thî,[動詞] 長青苔。
久長病,kú-tn̂g-pēⁿ/kú-tn̂g-pīⁿ,[名詞] 久病、慢性病。
千金譜,Chhian-kim-phó͘,[名詞] 書名。臺灣正式推行小學教育前的一種兒童啟蒙書。教導學生商業所需的知識、記帳用語，因開頭第一句話為「字是隨身寶，財是國家珍，一字值千金，千金難買聖賢心」而得名。
大便,tāi-piān,"[動詞] 排泄糞便。
[名詞] 排泄出來的糞便。"
大前年,tōa-chûn--nî,[時間詞] 前年的前一年，即今年以前的第三年。
大姨,tōa-î,[名詞] 稱謂。母親的大姊。
上帝,Siōng-tè,[名詞] 傳說中創造萬物的神祇。
上帝公,Siōng-tè-kong,[名詞] 玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。
三思,sàm-su,[動詞] 謹慎、仔細的考慮。
大後日,tōa-āu--ji̍t/tōa-āu--li̍t,[時間詞] 大後天。
大後年,tōa-āu--nî,[時間詞] 後年之後的第一年。
山後鳥,soaⁿ-āu-chiáu,[名詞] 灰面鵟鷹、灰面鷲。禽鳥類。每年十月初至十月底從北半球南下至東南亞一帶渡冬，於臺灣過境期間，可在恆春滿州里附近觀賞。到來年三月底至四月中旬又北返，在彰化八卦山或臺北觀音山地區可看見；因為是由南路而來，又稱為「南路鷹」。
也是,iā sī,"[副詞] 還是、也是。
[副詞] 也是。"
才是,chiah-sī,[副詞] 才是。
大昨日,tōa-cho̍h--ji̍t/tōa-cho̍h--li̍t,[時間詞] 大前天。
大某,tōa-bó͘,[名詞] 正室、元配。即大老婆。
山洞,soaⁿ-tōng,[名詞] 位在山林之中，自然形成的洞穴。
三牲,sam-seng,[名詞] 本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。
三界公,Sam-kài-kong,[名詞] 三官大帝、三界爺。道教中地位僅次於玉皇大帝的天、地、水三官，分別掌管賜福、赦罪、解厄。
三界娘仔,sam-kài-niû-á,[名詞] 將魚、食蚊魚。魚名。是臺灣瀕臨絕種魚類之一，類似大肚魚，大多生長在清水溝及稻田內，可以食用。
山珍海味,san-tin-hái-bī,[名詞] 山中和海中所生產的各式各樣的珍貴食品。
山苳蒿,soaⁿ-tang-o,[名詞] 昭和草。草本植物。莖葉鮮綠柔軟，葉緣呈鋸齒狀，花為紅褐色，果實被絨毛。春季為最佳的採集季節，可以食用。遭蟲咬傷或擦傷，也可將莖葉搗碎敷於患部。
低音,kē-im,[名詞] 樂譜中其音低於基礎音者。
乞食,khit-chia̍h,[名詞] 乞丐、叫花子。靠要錢、要飯過活的人。
口面,kháu-bīn,[名詞] 外面。外頭、外部。
口音,kháu-im,[名詞] 各地方所特有的說話方式及腔調。
乞食命,khit-chia̍h-miā,[名詞] 指生來就得靠要錢、要飯過日子的命運。
大面神,tōa-bīn-sîn,[形容詞] 厚臉皮。不知羞恥的樣子。
乞食琴,khit-chia̍h-khîm,[名詞] 月琴。弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，俗稱為「乞食琴」。
乞食頭,khit-chia̍h-thâu,[名詞] 乞丐頭子。乞丐的首領。
土匪,thó͘-húi,"[名詞] 為非作歹、打家劫舍的匪徒。
[形容詞] 像土匪一樣兇惡。"
大厝,tōa-chhù,"[名詞] 大房子、廣廈。
[名詞] 棺材。"
大哥,tōa-ko,"[名詞] 稱謂。兄弟中排行最大的、最年長的。
[名詞] 老大。團體中的領導人。"
低厝仔,kē-chhù-á,[名詞] 簡陋又低矮的房子。
大娘姑,tōa-niû-ko͘,[名詞] 大姑子。稱謂。已婚婦女對他人稱呼自己丈夫的姊姊。
口座,kháu-chō,[名詞] 帳戶、戶頭。在金融機構開一個存提款戶。源自日語「口座（こうざ）」。
土師,thó͘-sai,[名詞] 無師自通的技術工。
大孫,tōa-sun,[名詞] 長孫。排行最大的孫子。
大家,ta-ke,[名詞] 婆婆。稱謂。婦女對他人稱自己丈夫的母親。
子宮,chú-kiong,[名詞] 雌性動物生殖器的主要部分。位於小骨盤內膀胱與直腸之間，以子宮頸與陰道相連，底部兩側與輸卵管相通，為胎兒發育的場所。
山崁,soaⁿ-khàm,[名詞] 山崖。山陡直的側面。
大家口,tōa-ke-kháu,[名詞] 大家庭、大家族。人口數眾多的家庭、家族。
大家官,ta-ke-koaⁿ,[名詞] 公婆。稱謂。指丈夫的父母親。
子時,chú-sî,[時間詞] 指晚上十一點到隔天凌晨一點的時間。
上桌,chiūⁿ-toh,"[動詞] 指客人赴宴就席。
[動詞] 指筵席中上菜的形式過程。"
口氣,kháu-khì,[名詞] 說話的語氣。
大氣,tāi-khì,[名詞] 包圍在地球外層的空氣，由許多種氣體混合成的，其中以氮、氧為主要的成分。
大氣,tōa-khùi,[名詞] 大口的呼吸。
大氣喘,tōa-khùi-chhoán,[動詞] 哮喘、氣喘。一種呼吸困難的症狀。
干涉,kan-sia̍p,[動詞] 插手管別人的事情。
低級,kē-kip,[形容詞] 比較低下的級別，相對於「高級」而言。
大陣,tōa tīn,[名詞] 一大群人。
小鬼仔殼,siáu-kúi-á-khak,[名詞] 面具。
三除四扣,saⁿ-tû-sì-khàu,[熟語] 東扣西扣。指扣除的項目很多。 
上崎,chiūⁿ-kiā,[動詞] 上坡。
山崙,soaⁿ-lūn,[名詞] 指地勢較一般平原為高的小山丘。
才情,châi-chêng,"[名詞] 指人的才華、本事、才能。
[形容詞] 有才華的。"
三教,sam-kàu,[名詞] 佛、儒、道三教的合稱。
下晝,ē-tàu,[時間詞] 下午。
下晡,ē-po͘,[時間詞] 下午。
小票,sió-phiò,[名詞] 零鈔。小面額的紙幣。
三絃,sam-hiân,[名詞] 樂器名。有三根絃的彈撥樂器，音色非常清脆，分為大三絃和小三絃，構造都相同，是說唱音樂和各種地方戲曲中的重要樂器。
大細,tōa-sè/tōa-sòe,[形容詞] 大小。指一般事物的尺寸大小。
大細心,tōa-sè-sim/tōa-sòe-sim,[動詞] 偏心。指人故意偏袒一方，對某一方存私心。
大細目,tōa-sè-ba̍k/tōa-sòe-ba̍k,[形容詞] 本義為兩眼一大一小，大小眼。引申為用不公平的角度看待他人。
山頂,soaⁿ-téng,[名詞] 山的最高點。
工場,kang-tiûⁿ,"[名詞] 工廠。把原料製成製造品，或把半成品做成成品的製造場所。工廠裡通常有機器和工人。
[名詞] 泛指工人工作之場所。"
