漢字,羅馬字,詞性/解說
小,sió,"[形容詞] 細微、是「大」的相反。
[形容詞] 少許、些微。
[形容詞] 年紀、輩份比較低的。"
山,san,[名詞] 地形隆起的部分。
山,soaⁿ,"[名詞] 地形隆起的部分。
[名詞] 陸地。
[名詞] 旱地。"
工,kang,"[量詞] 計算天數的單位。
[名詞] 運用勞力、技能的工作者。
[名詞] 指生產勞務的工事。
[名詞] 工夫。工作需要花費的時間、精力。
[名詞] 空閒時間。
[名詞] 與機械、技術、製造相關的。"
工,kong,[名詞] 樂譜音名。工尺譜是中國傳統記錄樂譜的方法之一，第三個音即為「工」，也就是現在首調唱名法中的mi。
己,kí,"[代詞] 自身，與別人相對。
[名詞] 天干的第六位。"
巳,chī,[名詞] 地支的第六位。
巾,kin/kun,[名詞] 可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。
干,kan,"[名詞] 古代的防禦兵器，即盾牌。
[名詞] 古代記錄年、月、日、時的方法。
[動詞] 介入、參與。
[動詞] 冒犯。"
弓,keng,"[名詞] 武器名。彎弧形，用於射箭的工具。
[名詞] 形狀似彎弧形的東西。
[動詞] 撐開、張開。
[量詞] 計算弧形東西的單位。"
才,châi,"[名詞] 能力、才智、本事。
[名詞] 有某種資質或身份的人。"
才,chiah,"[副詞] 方、始。
[副詞] 只有。
[副詞] 表強調的語氣。
[副詞] 再。表示接續在另一動作之後。"
才,chhâi,"[量詞] 計算物體體積的單位。常用在木材的計算，一才為一台寸寬×一台寸厚×十台尺長。
[量詞] 計算物體面積的單位。可見於紙張、玻璃、石材、窗簾等的計算，一才為一尺(三十公分)見方。"
下𦜆,ē-ham,[名詞] 下巴、下顎。
丈人,tiūⁿ-lâng,[名詞] 岳父。稱謂。男子稱妻子的父親。
三八,sam-pat,[形容詞] 傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
土人,thó͘-lâng,[名詞] 比較粗魯、率直的人。
大人,tāi-jîn/tāi-lîn,[名詞] 日治時代老百姓對警察的稱呼。源自日語。
大人,tōa-lâng,[名詞] 成年人。
大力,tōa-la̍t,[形容詞] 形容很用力，或者出重力。
小人,siáu-jîn/siáu-lîn,[名詞] 品德操守低下，人格卑劣的人。
川七,chhoan-chhit,[名詞] 蔓生植物。可以入藥，有散血定痛的功效，常和杜仲相配合。嫩葉可以食用，是餐廳常見的野菜佳餚。
工人,kang-lâng,[名詞] 工人。靠勞力工作，以換取工資的人。
丈人公,tiūⁿ-lâng-kong,[名詞] 稱謂。男性稱呼妻子的爺爺或外公。
三七仔,sam-chhit-á,[名詞] 皮條客。為男女雙方媒介色情，拉攏不正當關係的牽合者。因為與妓女三七分帳，才有此稱呼。
丈人爸,tiūⁿ-lâng-pâ,[名詞] 岳父。稱謂，男性稱呼妻子的父親。
三八氣,sam-pat-khùi,[形容詞] 傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
丈人媽,tiūⁿ-lâng-má,[名詞] 稱謂。男性稱呼妻子的奶奶或外婆。
上久,siōng-kú,[副詞] 最久。
上山,chiūⁿ-soaⁿ,[動詞] 登山、爬山。
下山,hā-san,[動詞] 常用在戲曲的對白，指修行人要離開修行的地點。
久久,kú-kú,[副詞] 經過一段相當長久的時間。
大下,tōa-ē,[形容詞] 指很用力。
小口,sió-kháu,[形容詞] 飯量少、食量小。
小工,sió-kang,[名詞] 指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。
才子,châi-chú,[名詞] 有卓越文才或學問能力的男子。
大丈夫,tāi-tiōng-hu,[名詞] 有志氣而且勇敢剛毅的男子。
干干仔,kan-kan-á,[副詞] 偏偏。
三山國王,Sam-san-kok-ông,[名詞] 廣東省潮州的明山、獨山及中山三座山的山神總稱。後來人民遷徙臺灣，在臺灣各地都有祭祀的廟宇，香火鼎盛，是客家族群和潮州人的守護神。
千千萬萬,chhian-chhian-bān-bān,[形容詞] 成千上萬，形容數量很多。
上山頭,chiūⁿ-soaⁿ-thâu,[動詞] 送葬到墓地，護送棺木到墓地。
丈公,tiūⁿ-kong,[名詞] 姑公、姨公。稱謂。稱呼姑婆或姨婆的先生。
上元,Siōng-goân,[名詞] 元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
下元,Hā-goân,[名詞] 下元節。傳統民俗節日之一。農曆十月十五日為三官大帝的誕辰，通常在十月十四日晚間十一點開始祭拜，主要供品為甜湯圓、「麻粩」(môa-láu)、「米粩」(bí-láu)。
下勻,ē-ûn,[名詞] 後輩、晚輩。
大不了,tāi-put-liáu,[副詞] 頂多、充其量。至多也不過如此。
三不五時,sam-put-gō͘-sî,[熟語] 不時、經常。
土公仔,thó͘-kong-á,"[名詞] 處理喪葬墓穴的工人。 
[形容詞] 形容個性粗魯耿直。"
小丑仔,siáu-thiú-á,"[名詞] 戲劇或馬戲團中表演滑稽逗趣腳色的人。
[名詞] 比喻舉止不莊重，善於逗趣的人。"
土公仔性,thó͘-kong-á-sèng,[形容詞] 形容人的個性粗魯，就像墓穴工一樣。
上元暝,Siōng-goân-mê/Siōng-goân-mî,[名詞] 元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
