編號,語法點,例句
140-02,| 做+[賓語]+[動詞] | chò+[pin-gí]+[tōng-sû] | 當作某物來執行某事。 |,"['冬瓜、金瓜、黃瓜、醃瓜、菜瓜，攏是做菜配飯的瓜；', '搵蒜茸豆油準做四秀仔食，', '『肉搜』揣出來，罵甲予伊做狗爬。', '對樹頭到樹尾攏會使煎來做茶啉，', '『肉搜』揣出......', '大了才通hông刣肉，做菜佮。']"
141-01,| （閣）較……（嘛） | (koh-)khah...(mā) | 再怎麼……（也）。 |,"['是講，較拚嘛是研究助理的款，', '不而過，咱講人較頇顢嘛有一步取。', '阿爸共阮講：「閣較歡喜的代誌，oân-nā會過去，', '鴨卵較密嘛有縫。', '咱閣較戇的人嘛知影，這是「擔沙坉海了戇工」、「火燒罟寮全無望」。', '食較濟嘛毋驚血壓會衝懸。']"
142-01,| 免+[動詞]……嘛…… | bián+[tōng-sû]+mā… | 不用......也……，表示必然如此。 |,"['免講一世人，閣予你兩世人，你嘛挖袂了。', '門鎖咧，免講嘛開袂開。', '免講我嘛知，毋過手都咇咇掣啊。', '免用頭殼想嘛知影', '故事的結局，免臆嘛知，', '厝頂無修理，免講嘛會漏。', '免食嘛會飽']"
144-01,| ……才著 | ...chiah tio̍h | 表達主觀推斷，即……才對。 |,"['今年過年的天氣嘛會仝款真好才著！', '阮遮的囝孫仔一定會平安幸福才著。', '所以應該是講清理灶跤（廚房/流理台）才著。', '想講大肥無人會偷才著啦，', '實現的彼一工嘛無遠矣才著。']"
145-01,"| 毋是……，就是……。 | m̄ sī..., tō sī... | 不是……就是……。 |","['毋是一百分、就是第一名，', '是路途重要選擇的分野：毋是起去就是落來，', '毋是大空細裂，就是烏青凝血，欲順序過日，誠拚咧！', '若毋是佇枕頭邊，就是佇跤邊，', '四箍圍恬喌喌，毋是塗就是石。']"
146-01,| [動詞]+毋著 | [tōng-sû]+m̄-tio̍h | 動詞+錯。 |,"['查某朋友的生......', '毋知啥物人食毋著藥仔提議講：', '「我聽毋著去，毋是刁工共恁騙。」', '查某朋友的生日千萬袂使記毋著去！', '原來電視講毋著，我講的才正確。', '「歹勢，我看毋著去，阿煌跋倒，跤無斷去。」', '立場明顯創毋著去。']"
147-01,| ……的款 | ...ê khoán | 表推測語氣，即「……的樣子」。 |,"['可能定予我等會歹勢的款。', '親像咧責怪伊無共照顧好勢的款，', '是講，較拚嘛是研究助理的款，', '毋過我感覺便若「政府」攏無咧好空的款。', '敢若小可有欲變歹天的款。', '可能是無感覺危險的款。']"
148-01,| ……家己 | ...ka-kī | 反身代詞，可與人稱代詞結合使用，即……自己。 |,"['若是臺灣人家己無覺醒，咱的語言就是「安樂死」。', '好佳哉楊桃豆伊家己會揣相隔壁的樹仔來旋藤，', '我家己咧想……', '有真濟攏是阮家己自動去學來的。', '恁家己嘛應該去照鏡，看恁讀的系敢有影較有路用？', '若是作者家己無好品行，讀者是無法度接受的。']"
149-01,| 上蓋…… | siōng-kài... | 最......，「蓋」可省略。單獨使用「蓋」則表示「很」的意思。 |,"['純天然的菜蔬，是現代人上蓋佮意的野味。', '上蓋精彩的一部分，', '拚台語，上蓋有意義。', '這个明德，雖罔逐項譀譀，翕相上蓋認真。', '阮兜是讀冊上蓋大，']"
150-01,| 毋但……嘛…… | m̄-nā...mā... | 不但……也……。 |,"['去港仔邊買現流仔，毋但鮮嘛加真俗。', '毋但惜查某囝，嘛足疼外孫。', '伊毋但有台文才情，嘛有華文才情呢！', '毋但家己種菜，連雞仔鴨仔嘛攏家己飼。', '毋但愛家己嘛關心別人。']"
151-01,| 毋但……閣…… | m̄-nā...koh... | 不但……還……。 |,"['若開車毋但袂淋著雨閣會使聽音樂，輕輕鬆鬆，', '毋但參加活動，閣不時捐款。', '流亡來台灣，毋但無感謝台灣人收留，閣共咱𧿬踏，', '偉大的母愛毋但是養飼，閣較重要的是教育，', '伊毋但會曉唱歌，閣會曉彈鋼琴。', '若開車毋但袂淋著......']"
152-01,| 乎？ | ho͘hⁿ？ | 反問語助詞，表示與問話者確認的語氣，或有調侃的意味。 |,"['你應該是有共伊摔著乎？', '恁兩个姊妹仔閣咧相爭矣乎？', '按呢是真公平乎？', '普通時仔喙齒攏無......', '你一定真艱苦，真失望乎？', '普通時仔喙齒攏無照起工洗喙乎？']"
153-01,| 無半…… | bô pòaⁿ... | 沒有任何一點…… |,"['紲落，浴間仔無半條面巾、齒抿佮齒膏，', '有影無半點精差。', '結果攏無半隻過來，', '我無半項文藝青年所愛具備的條件佮底蒂，', '入房了後，發覺無半雙淺拖，']"
154-01,| 無論/毋管……抑是…… | bô-lūn/m̄-koán...ia̍h-sī... | 無論……或是……（都……）。 |,"['無論是大人抑是囡仔，大多數攏想欲食好做輕可，', '毋管是埃及法老抑是Louis十四，足久進前就攏已經日頭落山矣，', '毋管大細枝柱仔、楹仔抑是相連的橫栱，攏用家己鋸台撩開的便料，', '毋管這个慾貪是正面的抑是負面的，伊攏會引生性命的苦。', '無論是體力抑是精神，攏是一件真折磨的代誌。', '無論中式抑是西洋料理，到上落尾決定有一出甜路，']"
155-01,| [動詞]+了 | [tōng-sû]+liáu | 用於動詞及補語間，表示動作得到補語的結果。 |,"['提名無著，予伊感覺小可愛了無著頭。', '身體恢復了誠好', '你免歡喜了傷早，', '無跋真鬱卒，跋了損身體，會閃著腰脊骨', '今，你考了按怎？']"
,[臺灣台語語料庫應用檢索系統](https://tggl.naer.edu.tw/),
