編號,語法點,例句
021-02,| 日期講法 | ji̍t-kî kóng-hoat | ○月初○、○月○○→1~10日用「初○」，11日以後只講數字，都不接「日」或「號」。 |,"['今仔日是舊曆正月十五', '今仔日是一百空八年七月初九', '佇八月十一進前到甲五千人的連署坎站。', '五月初五', '今仔日是一百......', '今仔日是六月十九，拜一', '今年六月二十四彼工是我人生足重要的日子']"
021-03,| 禮拜講法 | lé-pài kóng-hoat | 週一到週六為「（禮）拜一」到「（禮）拜六」，週日為「禮拜（日）」。 |,"['拜六阮學校有運動會呢！', '有一个禮拜六，', '今仔日是三月初一，拜五', '今仔日是六月十九，拜一', '今仔日是十二月十四，禮拜']"
021-04,| 公元年講法 | kong-goân-nî kóng-hoat | 1000年以前以數數字的方法讀，1001以後以數字的文讀音讀，0多讀為khòng；4位數之第2個數字讀本調。（教會則全部用數數字的方法讀） |,"['今仔日是一百空八年七月初九', '比論二空一一年，冰島的公民反對「用稅金還國債」，', '蔣渭水高速公路佇兩千空六年中通車，', '甲午戰爭是發生佇一八九五年', '一九九九年發生九二一地動', '「台灣漫感」是伊經過十冬了後轉來台灣（一九三一年，昭和六年）']"
022-01,| 數字讀法 | sò͘-jī tha̍k-hoat | 101→一百空一chi̍t-pah khòng it 110→百一pah-it （「一」可省略，如「千三、萬五、斤半」） 111→一百十一chi̍t-pah cha̍p-it 230→二仔三jī-á-saⁿ、兩百三十 nn̄g-pah-saⁿ-cha̍p、兩百三nn̄g-pah-saⁿ 231→兩百三十一nn̄g-pah saⁿ-cha̍p-it 1、2依位置各有異讀，3開始為白讀，7只有一讀。 |,"['電錢兩個月四百三十六箍', '攏總有一百空五个人報名。', '逐家康健食百二！', '好，無，予我一箍的百五、五箍的三仔五、', '量約百六公分的瘦伯仔，上捷出現的所在是北區佮中西區彼箍圍仔的街頭。', '來賓五百六十九號請來三號櫃台辦理', '攏總四百六十八箍，找你三十二箍']"
023-01,| 電話號碼佮專有名詞 | tiān-ōe hô-bé kah choan-iú bêng-sû | 變調組從起始處以2碼或3碼為一組，4碼則拆為各2碼，例如：09#12#-345#-678#、02#77#40#78#90# #前的數字讀本調。0多讀為khòng，其他都使用文讀音。 |,"['阮兜的電話號碼是空四四九六二九八四', '阮兜的電話號碼是空三九二九一七三一', '我的手機仔是空九六空七五七三八四', '阮兜的電話號碼是空六三二九五一八二']"
024-01,| 無 | bô | 表示對存在、狀態和動作的否定，和「有」相反。 |,"['俗物，無好貨。', '健康大漢無煩惱。', '唯一無變的是彼粒堅決的初心。', '草地人無需要遮的。', '失禮，伊這馬無佇咧。']"
024-02,| 袂 | bē | 對事件可能性或現象的否定，和「會」相反。 |,"['就是袂團結的緣故。', '細膩袂蝕本，荷包愛縖予絚！', '會吠的狗，袂咬人。', '免沃肥閣袂著蟲，𠢕大閣臭賤，', '拍電動電錢嘛無傷重，袂造成負擔。']"
024-03,| （猶）未 | (iáu-)bōe | 沒……，表示還沒發生。 |,"['未做娘先做𡢃。', '逐冬，攏有學......', '喙未擘開、嚨喉滴仔就看現現。', '阮先按下閣猶未解決的案件，', '睏猶未飽，阿母就叫我起床，', '逐冬，攏有學生猶未滿二十，']"
024-04,| 毋 | m̄ | 與意念有關的否定。（但有以下例外：毋捌、毋著、毋是、毋知、毋敢、毋肯、毋甘、毋好、毋甘願、毋通、毋值等用法則無關意念。） |,"['是按怎有車毋開，欲選擇騎鐵馬去上班？', '天公伯仔若毋相伨，', '伊毋信就講：啊掃帚星就會落落來矣。', '欲做抑毋做全然佇人的一念之間。', '欲去烏影，毋去是吊鼎。']"
024-05,| （毋）免 | (m̄-)bián | 接不需要執行的動作，即「不用、不必、不須」。 |,"['無啥物，免客氣。', '啥物攏免想，啥物攏免驚', '其他的代誌，你這馬毋免問，', '毋免加講話就知影愛按呢落做，', '日子會得過就好，毋免遐辛苦。', '其他的代誌，......', '小可胃腸問題，免緊張啦！']"
